browser,os, os_version, device_mode,utm_campaign,utm_medium,utm_source
Samsung Internet,Windows, Windows 10, Dell Latitude 7410,ToyTreasure_CP_performance,paid_display,meta_ads_display
Samsung Internet,Android, Android 10, Samsung Galaxy S10,WellnessWave_AW_performance,paid_display,meta_ads_display
Edge,Android, Android 10, Samsung Galaxy Z Fold 2,SportsSpectacle_IO_buying,paid_social,linkedin_ads
Safari,Windows, Windows 11, Lenovo Legion 5 Pro,[''],BeautyBoulevard_NR_broad,paid_social,x_ads
Opera,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],CraftCarnival_TT_buying,direct,direct
Samsung Internet,macOS, macOS Catalina, MacBook Pro (13-inch 2019),FashionWeek_IT_performance,paid_search,google_ads_brand
Safari,Android, Android 11, OnePlus 9,ArtAtrium_NU_buying,paid_social,pinterest_ads
Safari (in-app),Android, Android 12, Google Pixel 4,GourmetGrove_SL_broad,paid_social,meta_ads_shopping
Opera,macOS, macOS Monterey, iMac Pro (2021),[''],LuxuryLobby_JM_performance,paid_retargeting,meta_ads_retargeting
Samsung Internet,Windows, Windows 10, Asus VivoBook Flip 14,MusicMela_NZ_performance,paid_social,meta_ads_shopping
Opera,macOS, macOS Big Sur, MacBook Air (M1 2020),[''],FashionWeek_IT_performance,paid_social,pinterest_ads
Edge,macOS, macOS Big Sur, MacBook Pro (16-inch Late 2020),LuxuryLobby_JM_performance,paid_social,meta_ads_awareness
Firefox,Android, Android 9, Samsung Galaxy S9+,AdventureAtlas_CX_broad,paid_search,google_ads_shopping
Opera,Android, Android 11, Samsung Galaxy S20,CraftCarnival_PL_performance,paid_search,google_ads_shopping
Chrome,Windows, Windows 10, Surface Pro 7,TravelTreasures_CL_performance,paid_social,meta_ads_awareness
Firefox,macOS, macOS Big Sur, MacBook Air,KidsKingdom_AR_broad,paid_social,youtube_ads
Firefox,Windows, Windows 10, Lenovo Yoga C940,VintageVault_PT_buying,paid_search,google_ads_brand
Chrome,Windows, Windows 10, Lenovo Yoga C940,FashionFestival_GY_buying,paid_display,google_ads_display
Firefox,macOS, macOS Big Sur, iMac (21.5-inch Late 2020),BackToSchool_AU_buying,paid_retargeting,meta_ads_retargeting
Safari,Windows, Windows 11, Asus VivoBook 14,ToyTemple_DM_buying,paid_social,youtube_ads
Edge,macOS, macOS Catalina, MacBook Pro (16-inch 2019),WellnessWave_CO_broad,paid_retargeting,meta_ads_retargeting
Safari,Windows, Windows 11, Dell Precision 7550,ToyTreasure_GD_buying,paid_search,google_ads_brand
Firefox,macOS, macOS Big Sur, iMac (27-inch 2020),GadgetGrove_WS_broad,paid_social,linkedin_ads
Safari (in-app),macOS, macOS Big Sur, iMac (2020),LuxuryLobby_TK_buying,paid_retargeting,meta_ads_retargeting
Chrome,Android, Android 9, Samsung Galaxy S9+,JewelryJunction_AQ_buying,paid_social,meta_ads_awareness
Opera,Windows, Windows 10, Dell Vostro 15 7500,TechTrove_SR_broad,direct,direct
Samsung Internet,Windows, Windows 8.1, Lenovo Yoga 920,TechTrends_PM_buying,organic,search
Edge,macOS, macOS Monterey, iMac (24-inch M1 2021),LuxuryLobby_TK_buying,paid_display,google_ads_display
Safari (in-app),Windows, Windows 11, Lenovo ThinkPad T14s,[''],SportsSensation_GF_performance,paid_social,linkedin_ads
Firefox,iOS, iOS 15.0, iPhone 13,BeautyBlitz_SA_performance,paid_social,pinterest_ads
Safari (in-app),Android, Android 11, Samsung Galaxy Note 20 Ultra,CraftCarnival_TT_buying,organic,search
Safari (in-app),Windows, Windows 11, Asus ROG Flow X13,PetParade_AX_broad,paid_display,google_ads_display
Firefox,Android, Android 12, Google Pixel 4,BeautyBoulevard_PG_buying,paid_social,x_ads
Samsung Internet,iOS, iOS 14.1, iPhone 11,GadgetGrove_CR_buying,paid_search,google_ads_shopping
Edge,Android, Android 8, Samsung Galaxy J7,MovieMania_AT_broad,direct,direct
Safari (in-app),Android, Android 6, Moto G4,TravelTreasures_SB_buying,paid_social,youtube_ads
Edge,macOS, macOS Catalina, iMac (21.5-inch 2019),HealthHub_PN_buying,paid_search,google_ads_brand
Firefox,Windows, Windows 11, Lenovo ThinkPad T14s,[''],AutoAvenue_CZ_broad,paid_social,meta_ads_awareness
Firefox,Android, Android 11, OnePlus 9,GardenGrove_LC_buying,paid_social,meta_ads_shopping
Edge,Windows, Windows 10, Asus VivoBook Flip 14,MusicMajesty_BB_buying,paid_search,google_ads_shopping
Firefox,Android, Android 10, Samsung Galaxy A50,TravelTreasures_SB_buying,paid_search,google_ads_shopping
Opera,Android, Android 12, Samsung Galaxy A52,NewYearBlast_ES_performance,paid_social,meta_ads_shopping
Edge,iOS, iOS 14.2, iPhone 12,LuxuryLobby_TK_buying,paid_retargeting,meta_ads_retargeting
Samsung Internet,Windows, Windows 10, Dell Latitude 7410,BackToSchool_AU_buying,paid_retargeting,meta_ads_retargeting
Samsung Internet,iOS, iOS 14.6, iPad Pro 12.9,SportsSpectacle_IO_buying,paid_search,google_ads_shopping
Safari (in-app),Windows, Windows 11, Lenovo IdeaPad 3,GadgetGalore_RU_broad,paid_display,meta_ads_display
Samsung Internet,macOS, macOS Monterey, MacBook Pro (13-inch M1 2020),[''],CraftCraze_BZ_buying,paid_display,google_ads_display
Firefox,Windows, Windows 10, Dell Latitude 7410,AutoAlley_VC_performance,paid_display,google_ads_display
Opera,macOS, macOS Monterey, iMac (Retina 5K 27-inch Early 2021),LuxuryLobby_JM_performance,paid_display,meta_ads_display
Safari,Windows, Windows 10, Lenovo Yoga C940,LuxuryLounge_YT_broad,direct,direct
Safari (in-app),Windows, Windows 10, Lenovo Legion Y540,TechTrends_UY_buying,paid_search,google_ads_shopping
Safari,iOS, iOS 14.4, iPhone 12 Mini,TravelFiesta_IN_performance,paid_social,linkedin_ads
Firefox,Android, Android 7, Samsung Galaxy S7,WellnessWorld_EC_performance,paid_social,linkedin_ads
Opera,Windows, Windows 10, Asus ZenBook 13,WellnessWorld_EC_performance,paid_search,google_ads_brand
Safari (in-app),macOS, macOS Big Sur, iMac (2020),HealthHaven_SV_broad,paid_social,meta_ads_awareness
Opera,macOS, macOS Big Sur, iMac (2020),FashionFiesta_VE_performance,paid_search,google_ads_brand
Samsung Internet,Android, Android 11, OnePlus 9,NatureNest_IC_performance,paid_display,google_ads_display
Edge,macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),GourmetGrove_MQ_buying,paid_retargeting,google_ads_retargeting
Opera,Windows, Windows 11, Dell Alienware m15 R4,[''],JewelryJunction_KN_broad,paid_display,meta_ads_display
Safari (in-app),macOS, macOS Catalina, MacBook Pro (13-inch 2019),GadgetGrove_RE_broad,paid_social,meta_ads_awareness
Opera,Android, Android 7, Samsung Galaxy S7 Edge,SportsSensation_BL_broad,organic,search
Safari (in-app),Windows, Windows 10, Surface Pro 7,KidsKingdom_AR_broad,paid_social,meta_ads_shopping
Edge,macOS, macOS Monterey, iMac (24-inch M1 2021),PetParade_FI_broad,direct,direct
Samsung Internet,macOS, macOS Catalina, MacBook Pro (13-inch Early 2019),TravelTreasures_CL_performance,paid_display,google_ads_display
Safari,Android, Android 11, Samsung Galaxy S20,FashionFestival_GP_performance,paid_social,x_ads
Safari,Android, Android 7, Samsung Galaxy S7,TravelTrove_PY_buying,paid_display,google_ads_display
Opera,macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),ArtAlchemy_BS_performance,organic,search
Chrome,Android, Android 10, Samsung Galaxy Note 10+,FoodFusion_AI_performance,organic,search
Safari (in-app),macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),TravelTreasures_SB_buying,organic,search
Safari,Windows, Windows 11, Lenovo Legion 5 Pro,[''],MusicMela_NZ_performance,paid_retargeting,google_ads_retargeting
Safari,Android, Android 10, Samsung Galaxy S10,FashionWeek_IT_performance,paid_retargeting,google_ads_retargeting
Opera,Android, Android 11, Samsung Galaxy Tab S7,MusicMajesty_KI_broad,paid_social,x_ads
Safari,Windows, Windows 10, Dell Inspiron 15 3000,WellnessWave_AW_performance,organic,search
Opera,macOS, macOS Catalina," MacBook Pro 13""",GourmetGrove_MQ_buying,paid_retargeting,google_ads_retargeting
Firefox,iOS, iOS 14.6, iPad Pro 12.9,JewelryJunction_HT_broad,direct,direct
Safari (in-app),macOS, macOS Big Sur, iMac (21.5-inch Late 2020),MusicMystique_KN_buying,paid_display,google_ads_display
Safari,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),TravelFiesta_IN_performance,paid_retargeting,meta_ads_retargeting
Opera,Android, Android 11, Samsung Galaxy A71,FoodFestival_TV_performance,paid_retargeting,google_ads_retargeting
Opera,Android, Android 12, Samsung Galaxy Note 21,[''],TravelTrove_PY_buying,paid_retargeting,google_ads_retargeting
Chrome,Windows, Windows 11, Surface Laptop 4,KidsKingdom_AR_broad,organic,search
Edge,Windows, Windows 11, Dell XPS 15,[''],ToyTreasure_GD_buying,organic,search
Samsung Internet,Android, Android 11, OnePlus 9,FashionWeek_IT_performance,paid_social,meta_ads_awareness
Opera,Windows, Windows 11, Dell Inspiron 14 5000,PetParty_AG_performance,paid_display,google_ads_display
Opera,Windows, Windows 11, Dell Precision 7550,TravelTreasures_CL_performance,paid_social,youtube_ads
Firefox,Windows, Windows 10, Asus VivoBook Flip 14,FashionFiesta_VE_performance,organic,search
Safari,Android, Android 11, Samsung Galaxy Z Flip,TechExpo_FR_broad,paid_display,meta_ads_display
Firefox,Windows, Windows 10, Dell Vostro 15 7500,HealthHive_WS_performance,paid_social,meta_ads_shopping
Safari,Windows, Windows 11, Lenovo IdeaPad Flex 5,AdventureAtlas_SH_performance,paid_social,meta_ads_awareness
Safari (in-app),Android, Android 11, Samsung Galaxy S20,ToyTemple_DM_buying,paid_search,google_ads_shopping
Safari (in-app),macOS, macOS Big Sur, MacBook Pro (16-inch 2020),AdventureAtlas_CX_broad,paid_social,meta_ads_shopping
Opera,iOS, iOS 14.5, iPhone SE (2nd),NatureNest_IC_performance,direct,direct
Opera,Android, Android 9, Samsung Galaxy S9,ArtAuction_BV_broad,paid_display,meta_ads_display
Safari,Android, Android 7, Samsung Galaxy S7,MusicMajesty_KI_broad,paid_retargeting,google_ads_retargeting
Firefox,Android, Android 7, Samsung Galaxy S7,HomeHaven_TO_performance,paid_social,meta_ads_shopping
Samsung Internet,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),GadgetGrove_AI_buying,paid_social,pinterest_ads
Opera,Android, Android 8, LG G7 ThinQ,MusicMela_NZ_performance,paid_retargeting,meta_ads_retargeting
Firefox,Android, Android 7, Samsung Galaxy S7,FashionFiesta_VE_performance,paid_search,google_ads_shopping
Samsung Internet,Android, Android 9, Samsung Galaxy S9,CraftCraze_GS_performance,paid_display,google_ads_display
Chrome,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),AutoAlley_GT_performance,paid_search,google_ads_shopping
Firefox,macOS, macOS Catalina, MacBook Pro (13-inch 2019),GourmetGrove_BO_broad,paid_display,meta_ads_display
Samsung Internet,Android, Android 11, Samsung Galaxy S20,NatureNest_IC_performance,paid_retargeting,google_ads_retargeting
Safari,macOS, macOS Catalina, MacBook Pro (16-inch 2019),WellnessWave_PW_buying,paid_social,meta_ads_shopping
Edge,macOS, macOS Monterey, MacBook Air (Retina 13-inch 2021),BeautyBlast_DO_performance,paid_social,x_ads
Safari,macOS, macOS Big Sur, MacBook Air (Retina 13-inch Early 2020),HomeHarbor_CC_buying,paid_social,meta_ads_awareness
Edge,Windows, Windows 8.1, Lenovo Yoga 920,AutoAvenue_BQ_broad,paid_search,google_ads_brand
Safari,macOS, macOS Big Sur, iMac (21.5-inch Late 2020),MusicMajesty_BB_buying,paid_display,meta_ads_display
Firefox,macOS, macOS Monterey, MacBook Pro (14-inch 2021),FoodFusion_AI_performance,paid_search,google_ads_shopping
Chrome,iOS, iOS 13.7, iPhone X,AdventureAtlas_JM_performance,paid_social,youtube_ads
Samsung Internet,iOS, iOS 14.5, iPhone SE (2nd),AdventureArena_CH_buying,paid_social,youtube_ads
Safari (in-app),iOS, iOS 14.1, iPhone 11,SportsSpectacle_PA_broad,direct,direct
Chrome,Windows, Windows 11, Asus TUF Gaming A15,[''],TechTrove_VU_broad,direct,direct
Firefox,iOS, iOS 13.7, iPhone X,FoodFiesta_MX_buying,direct,direct
Opera,Android, Android 12, Samsung Galaxy S21,[''],CraftCraze_GS_performance,paid_retargeting,google_ads_retargeting
Safari (in-app),macOS, macOS Big Sur, MacBook Air (M1 2020),[''],HealthHaven_GD_broad,paid_social,meta_ads_shopping
Samsung Internet,macOS, macOS Monterey, iMac Pro (2021),[''],CraftCarnival_TV_broad,paid_social,x_ads
Samsung Internet,macOS, macOS Catalina," MacBook Pro 13""",MusicMajesty_BB_buying,paid_social,pinterest_ads
Firefox,Android, Android 8, Samsung Galaxy S8+,HealthHaven_GD_broad,paid_social,linkedin_ads
Firefox,Windows, Windows 11, Lenovo IdeaPad Flex 5,JewelryJunction_TK_performance,paid_display,google_ads_display
Edge,macOS, macOS Big Sur, MacBook Air,NatureNest_IC_performance,paid_display,meta_ads_display
Edge,macOS, macOS Catalina, MacBook Pro (13-inch Early 2019),PetPalace_PM_buying,direct,direct
Safari,Android, Android 11, Samsung Galaxy Note 20 Ultra,AutoAvenue_CZ_broad,paid_search,google_ads_shopping
Samsung Internet,macOS, macOS Monterey, MacBook Pro (13-inch M1 2020),[''],JewelryJunction_SH_performance,paid_social,pinterest_ads
Safari (in-app),macOS, macOS Monterey, iMac (Retina 5K 27-inch Early 2021),ToyTreasure_CK_broad,paid_social,linkedin_ads
Firefox,Android, Android 9, Samsung Galaxy Note 9,UrbanUniverse_MS_broad,paid_search,google_ads_brand
Firefox,Windows, Windows 11, Lenovo IdeaPad 3,UrbanUtopia_EG_buying,paid_retargeting,google_ads_retargeting
Safari (in-app),Windows, Windows 10, Lenovo Legion Y540,ArtAuction_BE_broad,paid_social,meta_ads_shopping
Samsung Internet,Windows, Windows 11, Lenovo IdeaPad Flex 5,ArtAtrium_BM_buying,paid_retargeting,meta_ads_retargeting
Firefox,macOS, macOS Catalina," MacBook Pro 13""",GardenGala_EH_performance,paid_search,google_ads_shopping
Chrome,macOS, macOS Big Sur, MacBook Air (Retina 13-inch Early 2020),FashionFestival_GP_performance,paid_display,google_ads_display
Edge,macOS, macOS Big Sur, MacBook Air (Retina 13-inch Early 2020),JewelryJunction_AQ_buying,paid_social,pinterest_ads
Edge,iOS, iOS 14.2, iPhone 12,ToyTreasure_GD_buying,paid_social,pinterest_ads
Safari (in-app),iOS, iOS 13.6, iPhone 8,FashionFiesta_FM_broad,paid_social,meta_ads_awareness
Samsung Internet,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),AutoAlley_VC_performance,organic,search
Chrome,Windows, Windows 11, Dell Precision 7550,FashionFestival_BW_buying,direct,direct
Samsung Internet,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),GadgetGrove_RE_broad,paid_social,linkedin_ads
Safari (in-app),Windows, Windows 11, Surface Laptop 4,TechTrends_PM_buying,paid_social,x_ads
Samsung Internet,macOS, macOS Big Sur, MacBook Pro (M1 13-inch 2020),[''],AutoAlley_GT_performance,paid_display,google_ads_display
Samsung Internet,Windows, Windows 11, Dell Inspiron 13 7000,NatureNook_MP_broad,paid_social,x_ads
Chrome,Windows, Windows 11, Lenovo ThinkBook 14,SportsSensation_FJ_performance,paid_retargeting,meta_ads_retargeting
Firefox,Windows, Windows 10, Lenovo ThinkPad X1 Carbon,PetParty_AG_performance,paid_social,x_ads
Safari,macOS, macOS Catalina, iMac (21.5-inch 2019),HealthHub_PN_buying,organic,search
Samsung Internet,macOS, macOS Monterey, iMac (Retina 5K 27-inch Early 2021),ArtAlchemy_VC_performance,paid_social,meta_ads_awareness
Samsung Internet,iOS, iOS 14.5, iPhone SE (2nd),ArtAlchemy_BS_performance,paid_social,meta_ads_shopping
Opera,iOS, iOS 14.2, iPhone 12,VintageVoyage_BB_broad,paid_social,x_ads
Samsung Internet,Windows, Windows 10, Dell Inspiron 15 3000,UrbanUtopia_EA_buying,organic,search
Opera,Windows, Windows 10, Dell Inspiron 15 3000,JewelryJunction_AQ_buying,paid_social,pinterest_ads
Chrome,iOS, iOS 14.5, iPhone SE (2nd),TechExpo_FR_broad,paid_social,youtube_ads
Chrome,iOS, iOS 14.6, iPad Pro 12.9,CraftCraze_GS_performance,paid_social,pinterest_ads
Opera,Windows, Windows 11, Dell XPS 15,[''],SummerFest_UK_performance,paid_social,linkedin_ads
Safari (in-app),macOS, macOS Catalina," MacBook Pro 13""",PetParade_AX_broad,paid_social,youtube_ads
Chrome,macOS, macOS Catalina," MacBook Pro 13""",HolidaySpecials_DE_broad,paid_social,x_ads
Opera,Windows, Windows 10, Dell XPS 13,SportsMania_BR_broad,paid_search,google_ads_brand
Chrome,Windows, Windows 10, Dell Latitude 7410,GardenGala_IE_performance,paid_social,meta_ads_awareness
Chrome,Windows, Windows 11, Lenovo ThinkBook 14,AutoAlley_VC_performance,paid_search,google_ads_brand
Safari (in-app),Android, Android 10, Samsung Galaxy Z Fold 2,PetParty_VC_performance,direct,direct
Samsung Internet,Windows, Windows 10, Dell G5 15,FoodFiesta_MX_buying,paid_social,youtube_ads
Safari (in-app),Android, Android 9, Samsung Galaxy A30,FoodFestival_TV_performance,paid_display,google_ads_display
Edge,Windows, Windows 10, Dell Inspiron 15 3000,HomeHarbor_CC_buying,paid_retargeting,google_ads_retargeting
Firefox,Windows, Windows 11, Asus VivoBook 14,ArtAlchemy_VC_performance,paid_search,google_ads_shopping
Firefox,Windows, Windows 11, Lenovo IdeaPad Flex 5,VintageVault_PT_buying,paid_display,google_ads_display
Firefox,Windows, Windows 11, Lenovo ThinkPad T14s,[''],AdventureAtlas_SH_performance,paid_search,google_ads_shopping
Safari (in-app),Windows, Windows 10, Lenovo Yoga C940,PetParade_FI_broad,paid_retargeting,google_ads_retargeting
Safari (in-app),Windows, Windows 11, Lenovo IdeaPad Flex 5,GourmetGrove_BO_broad,paid_display,meta_ads_display
Chrome,Android, Android 12, Samsung Galaxy Z Fold 3,[''],BeautyBlast_DO_performance,paid_retargeting,meta_ads_retargeting
Firefox,Android, Android 11, Samsung Galaxy Note 20,FashionFestival_GY_buying,paid_social,x_ads
Opera,Windows, Windows 10, Dell Latitude 7410,ToyTreasure_NO_performance,paid_search,google_ads_shopping
Firefox,Android, Android 11, Samsung Galaxy Tab S7,UrbanUniverse_NI_broad,paid_display,google_ads_display
Firefox,Android, Android 9, Samsung Galaxy S9+,GadgetGrove_NF_performance,paid_search,google_ads_brand
Samsung Internet,Windows, Windows 11, Lenovo IdeaPad Flex 5,FitnessFrenzy_ZA_buying,paid_retargeting,google_ads_retargeting
Opera,Android, Android 12, Samsung Galaxy Note 21,[''],JewelryJunction_AQ_buying,paid_social,x_ads
Samsung Internet,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],SummerFest_UK_performance,organic,search
Firefox,Windows, Windows 11, Lenovo Legion 5 Pro,[''],AdventureAtlas_SH_performance,paid_search,google_ads_shopping
Edge,Windows, Windows 11, Lenovo IdeaPad 3,WellnessWave_RE_broad,paid_retargeting,meta_ads_retargeting
Samsung Internet,macOS, macOS Catalina, MacBook Pro (16-inch 2019),WinterClearance_CA_buying,paid_social,linkedin_ads
Opera,iOS, iOS 13.6, iPhone 8,GourmetGala_PE_buying,organic,search
Edge,macOS, macOS Big Sur, MacBook Pro (16-inch 2020),AdventureArchipelago_BL_buying,paid_search,google_ads_brand
Safari,Android, Android 11, Google Pixel 5,TechTrove_SR_broad,paid_retargeting,meta_ads_retargeting
Firefox,macOS, macOS Big Sur, MacBook Pro (M1 13-inch 2020),[''],JewelryJunction_AQ_buying,organic,search
Chrome,iOS, iOS 15.0, iPhone 13,AutumnDeals_JP_buying,paid_display,meta_ads_display
Edge,Android, Android 12, Samsung Galaxy S21,[''],HomeHaven_TO_performance,paid_social,meta_ads_shopping
Safari,Android, Android 9, Samsung Galaxy S9+,NewYearBlast_ES_performance,paid_search,google_ads_brand
Firefox,iOS, iOS 14.7, iPad Air 4th Gen,TravelTreasures_PR_broad,paid_display,meta_ads_display
Chrome,Windows, Windows 10, Lenovo ThinkPad L13 Yoga,PetParty_VC_performance,direct,direct
Chrome,Android, Android 10, Samsung Galaxy S10,TechTemple_UM_performance,paid_display,google_ads_display
Safari,macOS, macOS Monterey, MacBook Pro (14-inch Late 2021),[''],UrbanUtopia_GU_performance,paid_retargeting,meta_ads_retargeting
Firefox,macOS, macOS Monterey, MacBook Air (Retina 13-inch 2021),TechTrends_UY_buying,paid_social,pinterest_ads
Opera,macOS, macOS Big Sur, iMac (27-inch 2020),TechTemple_UM_performance,paid_retargeting,meta_ads_retargeting
Edge,Windows, Windows 10, Asus ZenBook 13,WellnessWorld_EC_performance,paid_retargeting,google_ads_retargeting
Safari,Windows, Windows 10, Dell Vostro 15 7500,HomeHarmony_TT_broad,organic,search
Edge,macOS, macOS Big Sur, MacBook Air,NatureNiche_HN_buying,paid_search,google_ads_brand
Safari,Windows, Windows 11, Lenovo IdeaPad 3,HealthHive_WS_performance,paid_social,meta_ads_shopping
Firefox,Windows, Windows 10, Dell XPS 13,BeautyBlast_MF_performance,organic,search
Edge,macOS, macOS Monterey, iMac (24-inch M1 2021),AutoAvenue_BQ_broad,paid_social,x_ads
Edge,Android, Android 8, Samsung Galaxy J7,GourmetGala_MH_performance,paid_social,linkedin_ads
Samsung Internet,macOS, macOS Catalina, iMac Pro (2019),NewYearBlast_ES_performance,organic,search
Samsung Internet,Windows, Windows 11, Dell Inspiron 13 7000,PetParty_AG_performance,paid_search,google_ads_brand
Firefox,Windows, Windows 10, Asus ZenBook Duo,JewelryJunction_KN_broad,paid_search,google_ads_shopping
Firefox,Android, Android 12, Samsung Galaxy Z Fold 3,[''],SpringSale_US_broad,paid_retargeting,google_ads_retargeting
Edge,Android, Android 7, Samsung Galaxy J5,KidsKarnival_PA_performance,paid_retargeting,google_ads_retargeting
Opera,Windows, Windows 11, Asus VivoBook S15,MusicMajesty_HM_performance,organic,search
Samsung Internet,Windows, Windows 10, Dell XPS 13,SportsSensation_BL_broad,organic,search
Firefox,Android, Android 10, Samsung Galaxy Note 10+,AdventureAtlas_CX_broad,organic,search
Safari,Android, Android 9, Samsung Galaxy A30,UrbanUtopia_GU_performance,paid_social,meta_ads_shopping
Firefox,Android, Android 8, Samsung Galaxy S8,HomeHarmony_BM_broad,paid_search,google_ads_brand
Safari (in-app),Android, Android 7, Samsung Galaxy J5,ToyTreasure_CP_performance,paid_social,meta_ads_awareness
Chrome,Android, Android 9, Samsung Galaxy S9+,UrbanUtopia_EA_buying,paid_search,google_ads_shopping
Firefox,macOS, macOS Catalina, iMac (21.5-inch 2019),ArtAuction_BE_broad,paid_social,pinterest_ads
Samsung Internet,macOS, macOS Catalina, MacBook Pro (16-inch 2019),BeautyBlast_DO_performance,paid_search,google_ads_shopping
Chrome,Windows, Windows 10, Lenovo ThinkPad X1 Carbon,LuxuryLobby_TK_buying,organic,search
Firefox,Android, Android 8, Samsung Galaxy J7,AutoAvenue_BQ_broad,paid_social,x_ads
Safari,macOS, macOS High Sierra," MacBook Pro 15""",HealthHaven_SV_broad,paid_search,google_ads_brand
Safari (in-app),Android, Android 12, Samsung Galaxy Z Fold 3,[''],VintageVault_TF_buying,paid_social,linkedin_ads
Edge,iOS, iOS 13.7, iPhone X,UrbanUtopia_EG_buying,paid_social,meta_ads_awareness
Firefox,Android, Android 9, Samsung Galaxy S9,UrbanUniverse_MS_broad,paid_display,meta_ads_display
Safari,macOS, macOS Catalina, MacBook Pro (16-inch 2019),GardenGrove_BS_buying,paid_retargeting,meta_ads_retargeting
Opera,Windows, Windows 10, Asus VivoBook Flip 14,HomeDecorSale_CN_buying,paid_social,pinterest_ads
Safari,Windows, Windows 10, Surface Pro 7,TechExpo_FR_broad,paid_social,x_ads
Safari (in-app),Android, Android 10, Samsung Galaxy Note 10+,GadgetGalore_RU_broad,paid_retargeting,meta_ads_retargeting
Opera,Android, Android 11, Google Pixel 5,HomeHarmony_BM_broad,paid_display,google_ads_display
Firefox,Android, Android 9, Samsung Galaxy S9,MusicMystique_KN_buying,organic,search
Opera,Android, Android 11, Samsung Galaxy S20,LuxuryLobby_JM_performance,organic,search
Samsung Internet,macOS, macOS Monterey, MacBook Pro (14-inch 2021),TechTrends_PM_buying,paid_search,google_ads_shopping
Edge,macOS, macOS Monterey, iMac (Retina 5K 27-inch Early 2021),HealthHaven_SV_broad,paid_social,youtube_ads
Firefox,Android, Android 8, LG G7 ThinQ,FoodFusion_AI_performance,paid_social,meta_ads_awareness
Samsung Internet,Android, Android 7, Samsung Galaxy S7 Edge,TravelFiesta_IN_performance,paid_display,google_ads_display
Firefox,iOS, iOS 13.7, iPhone X,ArtAlchemy_BS_performance,paid_social,youtube_ads
Firefox,Android, Android 12, Samsung Galaxy A52,ArtAtrium_NU_buying,paid_display,meta_ads_display
Firefox,Android, Android 10, Samsung Galaxy Note 10,MusicMystique_MF_broad,paid_social,meta_ads_shopping
Safari (in-app),iOS, iOS 14.5, iPhone SE (2nd),AutoAlley_GT_performance,paid_social,linkedin_ads
Opera,Windows, Windows 11, Asus ZenBook Flip 13,GardenGrove_LC_buying,paid_social,linkedin_ads
Chrome,Windows, Windows 10, Dell G5 15,SportsSensation_BL_broad,paid_retargeting,google_ads_retargeting
Edge,Android, Android 9, Samsung Galaxy S9+,FoodFusion_AI_performance,paid_retargeting,meta_ads_retargeting
Chrome,macOS, macOS Monterey, MacBook Pro (16-inch 2021),[''],AutoAlley_VC_performance,paid_retargeting,meta_ads_retargeting
Firefox,Android, Android 12, Samsung Galaxy Z Fold 3,[''],HealthHub_PN_buying,paid_display,meta_ads_display
Opera,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),PetParade_FI_broad,paid_social,x_ads
Opera,Windows, Windows 10, Dell G5 15,HomeHarmony_TT_broad,paid_search,google_ads_shopping
Opera,Android, Android 11, Samsung Galaxy S20,SportsSpectacle_PA_broad,paid_search,google_ads_shopping
Firefox,Android, Android 12, Google Pixel 4,GourmetGrove_MQ_buying,organic,search
Safari,Windows, Windows 10, Lenovo Legion Y540,NewYearBlast_ES_performance,paid_search,google_ads_shopping
Firefox,Windows, Windows 8.1, Lenovo Yoga 920,SportsSpectacle_IO_buying,paid_retargeting,meta_ads_retargeting
Firefox,Android, Android 10, OnePlus 8,CraftCarnival_PL_performance,organic,search
Chrome,iOS, iOS 14.1, iPhone 11,HealthHub_PN_buying,paid_retargeting,meta_ads_retargeting
Safari (in-app),Android, Android 7, Samsung Galaxy S7,NatureNest_IL_performance,organic,search
Safari (in-app),iOS, iOS 14.2, iPhone 12,SportsSensation_GF_performance,paid_social,meta_ads_shopping
Chrome,Windows, Windows 10, Dell Latitude 7410,NatureNiche_KY_buying,paid_social,x_ads
Chrome,macOS, macOS Monterey, iMac (Retina 4.5K 24-inch 2021),ArtAlchemy_BS_performance,paid_social,meta_ads_awareness
Safari (in-app),iOS, iOS 13.7, iPhone X,BeautyBoulevard_NR_broad,direct,direct
Chrome,macOS, macOS Monterey, MacBook Air (Retina 13-inch 2021),TravelTrove_DG_performance,paid_social,pinterest_ads
Edge,Android, Android 10, Samsung Galaxy S10,SummerFest_UK_performance,paid_display,meta_ads_display
Firefox,macOS, macOS Monterey, iMac (Retina 4.5K 24-inch 2021),EcoExhibit_GR_performance,paid_search,google_ads_brand
Edge,Android, Android 11, Samsung Galaxy Note 20 Ultra,AutumnDeals_JP_buying,organic,search
Chrome,Android, Android 11, Samsung Galaxy S20 Ultra,JewelryJunction_KN_broad,paid_social,pinterest_ads
