browser,os, os_version, device_mode,utm_campaign,utm_medium,utm_source
Safari (in-app),Android, Android 12, Samsung Galaxy A52,FashionWeek_IT_performance,paid_retargeting,meta_ads_retargeting
Safari,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),ToyTreasure_NO_performance,paid_social,x_ads
Safari (in-app),Windows, Windows 8.1, Lenovo Yoga 920,NatureNook_MP_broad,paid_social,youtube_ads
Safari (in-app),Windows, Windows 8.1, Lenovo Yoga 920,FoodFusion_AI_performance,paid_social,meta_ads_shopping
Firefox,Windows, Windows 11, Dell Alienware m15 R4,[''],AdventureArena_CH_buying,paid_display,google_ads_display
Opera,Android, Android 12, Samsung Galaxy A52,BeautyBlast_DO_performance,paid_social,x_ads
Samsung Internet,Windows, Windows 10, Lenovo ThinkPad L13 Yoga,CraftCarnival_TT_buying,paid_social,meta_ads_shopping
Opera,macOS, macOS Big Sur, MacBook Air,BackToSchool_AU_buying,paid_social,youtube_ads
Chrome,macOS, macOS Big Sur, MacBook Air (Retina 13-inch Early 2020),FashionFiesta_FM_broad,organic,search
Samsung Internet,Android, Android 11, Google Pixel 5,WellnessWave_PW_buying,paid_social,linkedin_ads
Opera,macOS, macOS Monterey, iMac Pro (2021),[''],AutoAlley_GT_performance,paid_retargeting,google_ads_retargeting
Safari,Windows, Windows 11, Dell Inspiron 14 5000,KidsKingdom_AR_broad,direct,direct
Safari,Android, Android 7, HTC U11,ToyTreasure_CK_broad,paid_retargeting,meta_ads_retargeting
Chrome,macOS, macOS Catalina, MacBook Pro (16-inch 2019),WellnessWorld_EC_performance,paid_social,meta_ads_shopping
Edge,Windows, Windows 11, Lenovo ThinkPad T14s,[''],SportsSensation_BL_broad,direct,direct
Firefox,Android, Android 10, Samsung Galaxy S10,HomeHarmony_BM_broad,paid_display,meta_ads_display
Chrome,macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),UrbanUtopia_GU_performance,paid_search,google_ads_brand
Firefox,Android, Android 12, Samsung Galaxy S21,[''],PetParade_FI_broad,paid_search,google_ads_shopping
Safari (in-app),Windows, Windows 10, Dell Vostro 15 7500,NatureNiche_KY_buying,organic,search
Edge,Android, Android 12, Samsung Galaxy Z Fold 3,[''],ToyTreasure_CP_performance,paid_search,google_ads_shopping
Samsung Internet,Android, Android 11, Samsung Galaxy Z Flip,FashionFiesta_VE_performance,paid_retargeting,google_ads_retargeting
Opera,macOS, macOS Catalina, iMac (27-inch 2019),MusicMajesty_BB_buying,direct,direct
Chrome,iOS, iOS 14.4, iPhone 12 Mini,GadgetGrove_RE_broad,paid_display,meta_ads_display
Safari,macOS, macOS Catalina, MacBook Pro (13-inch 2019),SportsSpectacle_IO_buying,paid_social,meta_ads_shopping
Safari,macOS, macOS Monterey, MacBook Air (Retina 13-inch 2021),SportsSensation_BL_broad,paid_display,google_ads_display
Opera,iOS, iOS 14.1, iPhone 11,TechExpo_FR_broad,paid_display,google_ads_display
Chrome,Android, Android 11, Google Pixel 5,HomeHarmony_BM_broad,paid_search,google_ads_shopping
Safari,Android, Android 9, Samsung Galaxy S9,ArtAuction_BE_broad,paid_social,x_ads
Safari (in-app),Android, Android 9, Samsung Galaxy S9,LuxuryLobby_TK_buying,paid_social,linkedin_ads
Firefox,Android, Android 9, Samsung Galaxy S9,PetParty_AG_performance,paid_display,google_ads_display
Safari (in-app),macOS, macOS Catalina," MacBook Pro 13""",GourmetGala_PE_buying,paid_retargeting,meta_ads_retargeting
Opera,macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),TechExpo_FR_broad,paid_search,google_ads_brand
Chrome,Android, Android 11, OnePlus 9,AutoAlcove_AS_buying,paid_retargeting,google_ads_retargeting
Chrome,Windows, Windows 10, Asus ZenBook Duo,HolidaySpecials_DE_broad,paid_social,linkedin_ads
Chrome,Android, Android 12, Samsung Galaxy A52,UrbanUtopia_GU_performance,paid_retargeting,google_ads_retargeting
Chrome,iOS, iOS 15.0, iPhone 13,LuxuryLounge_YT_broad,paid_social,meta_ads_awareness
Firefox,Windows, Windows 11, Lenovo Legion 5 Pro,[''],HealthHaven_GD_broad,organic,search
Safari (in-app),Windows, Windows 11, Asus TUF Gaming A15,[''],TravelTrove_PY_buying,direct,direct
Safari,macOS, macOS Big Sur, MacBook Pro (M1 13-inch 2020),[''],TravelFiesta_IN_performance,paid_social,youtube_ads
Firefox,Android, Android 10, Samsung Galaxy S10e,GardenGrove_BS_buying,paid_social,x_ads
Firefox,iOS, iOS 13.6, iPhone 8,SummerFest_UK_performance,paid_social,meta_ads_shopping
Samsung Internet,Windows, Windows 11, Surface Laptop 4,NatureNest_IL_performance,paid_retargeting,google_ads_retargeting
Opera,Android, Android 11, Samsung Galaxy S20 Ultra,SportsSensation_FJ_performance,paid_social,x_ads
Safari (in-app),Windows, Windows 11, Surface Laptop 4,HealthHive_WS_performance,paid_display,google_ads_display
Firefox,macOS, macOS Big Sur, MacBook Air,LuxuryLounge_YT_broad,paid_display,meta_ads_display
Samsung Internet,iOS, iOS 14.3, iPhone 12 Pro,HomeHaven_TO_performance,paid_social,pinterest_ads
Edge,iOS, iOS 13.6, iPhone 8,GardenGrove_CK_broad,paid_display,google_ads_display
Samsung Internet,macOS, macOS High Sierra," MacBook Pro 15""",NewYearBlast_ES_performance,paid_display,google_ads_display
Samsung Internet,Windows, Windows 11, Lenovo IdeaPad Flex 5,AutoAvenue_CZ_broad,paid_retargeting,meta_ads_retargeting
Safari (in-app),Android, Android 12, Google Pixel 4,AdventureAtlas_NR_buying,direct,direct
Chrome,Android, Android 9, Samsung Galaxy S9+,GadgetGalore_RU_broad,paid_display,meta_ads_display
Opera,macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),PetParade_FI_broad,paid_retargeting,meta_ads_retargeting
Opera,Android, Android 10, Samsung Galaxy Note 10+,JewelryJunction_AQ_buying,paid_display,google_ads_display
Safari (in-app),macOS, macOS Catalina, MacBook Air (Retina 13-inch Late 2019),FashionFestival_BW_buying,organic,search
Opera,Windows, Windows 11, Dell XPS 15,[''],MusicMajesty_KI_broad,paid_social,x_ads
Edge,Android, Android 8, Samsung Galaxy S8+,AdventureArena_CH_buying,paid_search,google_ads_shopping
Edge,Android, Android 11, Samsung Galaxy Note 20,FashionFestival_BW_buying,paid_search,google_ads_shopping
Edge,Windows, Windows 10, Dell XPS 13,JewelryJubilee_DK_buying,paid_retargeting,meta_ads_retargeting
Firefox,Android, Android 8, Samsung Galaxy Note 8,ToyTreasure_CP_performance,organic,search
Firefox,Windows, Windows 11, Lenovo Legion 5 Pro,[''],BeautyBoulevard_NR_broad,paid_social,x_ads
Safari (in-app),macOS, macOS Monterey, MacBook Pro (13-inch M1 2020),[''],ToyTemple_DM_buying,paid_search,google_ads_shopping
Edge,macOS, macOS Big Sur, MacBook Pro (16-inch 2020),WellnessWorld_EC_performance,paid_social,youtube_ads
Safari,Windows, Windows 10, Asus ZenBook 13,JewelryJunction_AQ_buying,paid_social,meta_ads_shopping
Safari,Windows, Windows 10, Asus ZenBook Duo,VintageVoyage_BB_broad,paid_social,pinterest_ads
Chrome,Android, Android 8, Samsung Galaxy Note 8,FashionFiesta_VE_performance,paid_display,meta_ads_display
Safari (in-app),Windows, Windows 11, Lenovo ThinkBook 14,FoodFiesta_GG_buying,paid_search,google_ads_shopping
Samsung Internet,macOS, macOS Big Sur, iMac (27-inch 2020),PetParade_AX_broad,paid_retargeting,google_ads_retargeting
Chrome,macOS, macOS Big Sur, MacBook Air (Retina 13-inch Early 2020),NatureNest_IC_performance,paid_retargeting,google_ads_retargeting
Opera,Windows, Windows 8.1, Lenovo Yoga 920,KidsKingdom_VI_buying,paid_display,meta_ads_display
Safari (in-app),Android, Android 11, Samsung Galaxy Z Flip,CraftCraze_GS_performance,paid_social,youtube_ads
Safari,Windows, Windows 10, Asus ZenBook 13,AutoAlley_GT_performance,paid_social,x_ads
Samsung Internet,Android, Android 11, Samsung Galaxy A51,HomeHaven_GP_performance,paid_social,x_ads
Firefox,Windows, Windows 11, Surface Laptop 4,AdventureArchipelago_BL_buying,direct,direct
Safari,Android, Android 12, Samsung Galaxy Note 21,[''],LuxuryLobby_JM_performance,paid_social,meta_ads_awareness
Chrome,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),ArtAlchemy_VC_performance,paid_social,meta_ads_awareness
Safari,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),AdventureAtlas_CX_broad,paid_social,x_ads
Opera,Windows, Windows 11, Asus ZenBook Flip 13,GadgetGrove_CR_buying,paid_display,meta_ads_display
Safari (in-app),Android, Android 10, Samsung Galaxy Note 10+,TechExpo_FR_broad,paid_social,youtube_ads
Opera,Android, Android 9, Samsung Galaxy S9,FoodFiesta_MX_buying,paid_social,meta_ads_shopping
Firefox,macOS, macOS Monterey, iMac (Retina 4.5K 24-inch 2021),MusicMajesty_KI_broad,paid_display,google_ads_display
Firefox,Windows, Windows 10, Dell G5 15,MusicMystique_KN_buying,paid_social,meta_ads_awareness
Firefox,iOS, iOS 14.1, iPhone 11,VintageVoyage_DM_broad,paid_retargeting,google_ads_retargeting
Firefox,Windows, Windows 11, Asus VivoBook S15,UrbanUtopia_EG_buying,paid_social,meta_ads_shopping
Chrome,macOS, macOS Monterey, iMac Pro (2021),[''],BeautyBlast_DO_performance,paid_social,linkedin_ads
Samsung Internet,Windows, Windows 11, Dell XPS 15,[''],SportsSensation_FJ_performance,paid_social,linkedin_ads
Firefox,Android, Android 7, HTC U11,JewelryJunction_SH_performance,direct,direct
Samsung Internet,Windows, Windows 11, Dell XPS 15,[''],HomeHaven_TO_performance,paid_display,meta_ads_display
Samsung Internet,Windows, Windows 11, Dell Inspiron 13 7000,TechTrove_VU_broad,paid_search,google_ads_brand
Edge,Windows, Windows 10, Asus ROG Strix Scar 15,TravelTreasures_CL_performance,paid_display,meta_ads_display
Chrome,Windows, Windows 11, Lenovo Legion 5 Pro,[''],ArtAtrium_NU_buying,paid_social,meta_ads_awareness
Firefox,Android, Android 9, Samsung Galaxy S9+,GourmetGrove_BO_broad,paid_display,meta_ads_display
Samsung Internet,iOS, iOS 14.2, iPhone 12,SportsSpectacle_IO_buying,paid_social,meta_ads_shopping
Safari,macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),TechExpo_FR_broad,paid_social,meta_ads_awareness
Firefox,macOS, macOS Catalina, iMac (21.5-inch 2019),FoodFusion_AI_performance,direct,direct
Safari,Windows, Windows 11, Asus ROG Flow X13,VintageVoyage_DM_broad,direct,direct
Chrome,Android, Android 10, Samsung Galaxy Z Fold 2,PetParty_VC_performance,direct,direct
Edge,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),GourmetGala_MH_performance,paid_retargeting,google_ads_retargeting
Chrome,macOS, macOS Catalina, iMac Pro (2019),ArtAtrium_NU_buying,paid_retargeting,meta_ads_retargeting
Firefox,macOS, macOS Monterey, MacBook Pro (14-inch Late 2021),[''],TechExpo_FR_broad,paid_social,linkedin_ads
Firefox,Android, Android 10, Samsung Galaxy Note 10,AutoAlley_VC_performance,paid_retargeting,meta_ads_retargeting
Samsung Internet,Android, Android 8, Samsung Galaxy Note 8,BeautyBoulevard_MQ_buying,paid_social,pinterest_ads
Samsung Internet,Windows, Windows 10, Lenovo ThinkPad X1 Carbon,FoodFusion_AI_performance,organic,search
Chrome,Android, Android 11, Samsung Galaxy S20 Ultra,AutoAvenue_BQ_broad,paid_social,x_ads
Samsung Internet,Windows, Windows 10, Surface Pro 7,VintageVault_PT_buying,organic,search
Samsung Internet,macOS, macOS Monterey, iMac (24-inch M1 2021),AdventureAtlas_JM_performance,paid_social,meta_ads_shopping
Safari (in-app),Windows, Windows 10, Asus ROG Strix Scar 15,ToyTreasure_CP_performance,paid_display,meta_ads_display
Firefox,Windows, Windows 10, Dell Inspiron 15 3000,NatureNest_IC_performance,paid_social,meta_ads_shopping
Firefox,Windows, Windows 10, Dell Vostro 15 7500,KidsKingdom_AR_broad,paid_social,meta_ads_awareness
Opera,macOS, macOS Catalina, MacBook Pro (15-inch 2019),AdventureAtlas_JM_performance,paid_social,linkedin_ads
Safari (in-app),Windows, Windows 11, Asus ROG Flow X13,GardenGrove_CK_broad,paid_search,google_ads_shopping
Edge,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],AdventureAtlas_SH_performance,organic,search
Opera,Windows, Windows 10, Asus ZenBook Duo,ToyTreasure_NO_performance,organic,search
Chrome,Windows, Windows 10, Lenovo Yoga C940,JewelryJunction_SH_performance,paid_retargeting,meta_ads_retargeting
Edge,Android, Android 11, Samsung Galaxy Z Flip,PetParade_AX_broad,paid_social,linkedin_ads
Edge,macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),ToyTemple_FK_broad,paid_social,x_ads
Firefox,Android, Android 7, Samsung Galaxy S7 Edge,BeautyBoulevard_NR_broad,paid_social,meta_ads_shopping
Safari (in-app),Android, Android 10, Samsung Galaxy S10,FoodFestival_TV_performance,paid_social,linkedin_ads
Opera,Android, Android 7, Samsung Galaxy S7 Edge,HomeHarmony_BM_broad,paid_social,meta_ads_shopping
Safari (in-app),Android, Android 9, Samsung Galaxy Note 9,BookBazaar_SE_broad,organic,search
Edge,Windows, Windows 10, Asus VivoBook Flip 14,TechTrends_PM_buying,paid_search,google_ads_brand
Chrome,iOS, iOS 13.6, iPhone 8,TechTemple_UM_performance,paid_retargeting,google_ads_retargeting
Edge,macOS, macOS Monterey," MacBook Pro 16""",UrbanUtopia_EA_buying,direct,direct
Chrome,Windows, Windows 10, Lenovo ThinkPad X1 Carbon,MusicMela_NZ_performance,paid_social,x_ads
Edge,Android, Android 10, Samsung Galaxy S10,TravelTreasures_SB_buying,paid_search,google_ads_shopping
Edge,Android, Android 9, Samsung Galaxy S9+,CraftCraze_GS_performance,paid_display,meta_ads_display
Safari (in-app),macOS, macOS Monterey, MacBook Pro (14-inch Late 2021),[''],SportsSensation_GF_performance,paid_social,meta_ads_awareness
Firefox,macOS, macOS Catalina, MacBook Pro (15-inch 2019),JewelryJunction_KN_broad,paid_social,meta_ads_awareness
Chrome,macOS, macOS Monterey, iMac Pro (2021),[''],ToyTreasure_CK_broad,paid_social,x_ads
Safari (in-app),iOS, iOS 14.5, iPhone SE (2nd),SummerFest_UK_performance,paid_social,meta_ads_awareness
Samsung Internet,Android, Android 10, Samsung Galaxy Z Fold 2,ToyTreasure_CP_performance,paid_social,meta_ads_awareness
Opera,macOS, macOS Monterey, MacBook Pro (16-inch 2021),[''],FoodFiesta_GG_buying,paid_social,meta_ads_shopping
Opera,Windows, Windows 11, Asus ROG Flow X13,FoodFestival_LC_broad,paid_social,meta_ads_awareness
Edge,Windows, Windows 10, Dell XPS 13,SportsMania_BR_broad,paid_retargeting,google_ads_retargeting
Safari,Android, Android 10, Samsung Galaxy A70,NatureNest_IC_performance,paid_social,x_ads
Edge,iOS, iOS 14.2, iPhone 12,GardenGrove_CK_broad,paid_social,x_ads
Safari (in-app),Windows, Windows 10, Lenovo Legion Y540,HomeHaven_TO_performance,paid_social,meta_ads_awareness
Chrome,iOS, iOS 14.3, iPhone 12 Pro,AdventureArchipelago_BL_buying,paid_social,x_ads
Chrome,Android, Android 10, Samsung Galaxy S10,GadgetGrove_RE_broad,paid_search,google_ads_brand
Chrome,macOS, macOS Catalina, iMac (27-inch 2019),AdventureAtlas_NR_buying,paid_display,meta_ads_display
Opera,Android, Android 12, Samsung Galaxy Z Fold 3,[''],TechTemple_UM_performance,paid_display,meta_ads_display
Chrome,Android, Android 9, Samsung Galaxy S9,TravelTrove_PY_buying,paid_social,youtube_ads
Firefox,Windows, Windows 11, Dell Precision 7550,AdventureAtlas_NR_buying,paid_social,pinterest_ads
Safari (in-app),macOS, macOS Monterey, MacBook Air (Retina 13-inch 2021),FoodFusion_AI_performance,organic,search
Firefox,macOS, macOS Catalina, iMac (27-inch 2019),FoodFiesta_MX_buying,paid_retargeting,meta_ads_retargeting
Chrome,Android, Android 10, Samsung Galaxy Z Fold 2,JewelryJunction_AQ_buying,paid_retargeting,google_ads_retargeting
Opera,Android, Android 11, Samsung Galaxy S20,GadgetGrove_WS_broad,paid_social,pinterest_ads
Safari,macOS, macOS Monterey," MacBook Pro 16""",FoodFestival_LC_broad,paid_retargeting,google_ads_retargeting
Edge,macOS, macOS Monterey, MacBook Pro (16-inch 2021),[''],VintageVault_TF_buying,paid_social,x_ads
Samsung Internet,Android, Android 11, Samsung Galaxy S20 Ultra,MusicMystique_KN_buying,paid_retargeting,google_ads_retargeting
Safari,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),KidsKingdom_VI_buying,paid_retargeting,google_ads_retargeting
Safari (in-app),Android, Android 9, Samsung Galaxy A30,NewYearBlast_ES_performance,paid_social,meta_ads_shopping
Safari (in-app),macOS, macOS Catalina, iMac (21.5-inch 2019),HomeHaven_TO_performance,paid_social,youtube_ads
Safari,macOS, macOS Monterey, iMac (Retina 4.5K 24-inch 2021),JewelryJunction_TK_performance,direct,direct
Safari,Android, Android 7, Samsung Galaxy S7 Edge,ArtAtrium_BM_buying,paid_retargeting,meta_ads_retargeting
Chrome,Windows, Windows 10, Asus ROG Zephyrus G14,VintageVault_PT_buying,paid_search,google_ads_shopping
Firefox,macOS, macOS Monterey, MacBook Pro (14-inch Late 2021),[''],WellnessWave_CO_broad,paid_social,pinterest_ads
Opera,Windows, Windows 11, Lenovo Legion 5 Pro,[''],NatureNiche_KY_buying,paid_display,google_ads_display
Edge,Windows, Windows 11, Lenovo IdeaPad Flex 5,AdventureAtlas_NR_buying,paid_social,meta_ads_shopping
Firefox,Android, Android 8, Samsung Galaxy Note 8,LuxuryLounge_NL_broad,paid_social,meta_ads_shopping
Safari (in-app),macOS, macOS Catalina, MacBook Air (Retina 13-inch Late 2019),AutumnDeals_JP_buying,paid_search,google_ads_brand
Safari (in-app),Android, Android 11, Samsung Galaxy S20,JewelryJunction_KN_broad,paid_search,google_ads_shopping
Safari (in-app),Windows, Windows 10, Asus VivoBook Flip 14,UrbanUniverse_NI_broad,paid_social,meta_ads_awareness
Firefox,macOS, macOS Catalina, MacBook Pro (13-inch 2019),VintageVoyage_DM_broad,paid_search,google_ads_brand
Safari,Android, Android 7, HTC U11,HealthHaven_SV_broad,paid_social,meta_ads_shopping
Firefox,Windows, Windows 11, Lenovo Legion 5 Pro,[''],JewelryJunction_KN_broad,paid_social,x_ads
Samsung Internet,Android, Android 12, Google Pixel 4,CraftCraze_BZ_buying,paid_display,google_ads_display
Firefox,Android, Android 7, HTC U11,TravelTreasures_PR_broad,direct,direct
Edge,Windows, Windows 11, Dell Precision 7550,HomeHaven_TO_performance,paid_social,meta_ads_awareness
Chrome,iOS, iOS 13.6, iPhone 8,AutumnDeals_JP_buying,paid_search,google_ads_shopping
Samsung Internet,Windows, Windows 10, Lenovo ThinkPad P1,GardenGrove_LC_buying,paid_social,linkedin_ads
Opera,macOS, macOS Monterey, iMac Pro (2021),[''],SportsSensation_FJ_performance,paid_social,pinterest_ads
Safari (in-app),Android, Android 11, Samsung Galaxy A51,ArtAlchemy_BS_performance,paid_search,google_ads_shopping
Safari (in-app),Android, Android 11, Samsung Galaxy S20,AdventureArchipelago_BL_buying,paid_display,meta_ads_display
Chrome,iOS, iOS 14.1, iPhone 11,VintageVault_TF_buying,paid_social,meta_ads_awareness
Chrome,Windows, Windows 10, Asus ZenBook 13,FashionFestival_GP_performance,paid_retargeting,meta_ads_retargeting
Opera,iOS, iOS 15.0, iPhone 13,FashionFestival_GP_performance,paid_social,youtube_ads
Opera,macOS, macOS Monterey, MacBook Pro (14-inch Late 2021),[''],AdventureAtlas_SH_performance,paid_search,google_ads_shopping
Safari (in-app),Windows, Windows 11, Asus TUF Gaming A15,[''],NatureNook_MP_broad,paid_display,google_ads_display
Samsung Internet,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),ArtAtrium_BM_buying,paid_search,google_ads_shopping
Opera,iOS, iOS 13.7, iPhone X,PetParade_FI_broad,paid_display,google_ads_display
Safari,Android, Android 11, Samsung Galaxy S20 Ultra,AdventureAtlas_CX_broad,paid_social,linkedin_ads
Edge,Windows, Windows 11, Dell Precision 7550,GourmetGala_MH_performance,paid_social,x_ads
Chrome,macOS, macOS Catalina, MacBook Pro (13-inch 2019),CraftCarnival_PL_performance,paid_search,google_ads_shopping
Firefox,iOS, iOS 14.5, iPhone SE (2nd),BookBazaar_SE_broad,paid_display,google_ads_display
Firefox,Windows, Windows 10, Lenovo ThinkPad X1 Carbon,HealthHub_HU_buying,paid_search,google_ads_shopping
Opera,macOS, macOS Catalina, MacBook Pro (13-inch 2019),FitnessFrenzy_ZA_buying,paid_social,linkedin_ads
Edge,Windows, Windows 11, Lenovo IdeaPad Flex 5,BeautyBlast_MF_performance,paid_display,meta_ads_display
Opera,macOS, macOS High Sierra," MacBook Pro 15""",HomeHarbor_CC_buying,paid_social,pinterest_ads
Samsung Internet,Android, Android 8, Samsung Galaxy S8+,MusicMystique_KN_buying,paid_social,x_ads
Firefox,macOS, macOS Catalina, iMac (27-inch 2019),FoodFiesta_MX_buying,paid_retargeting,google_ads_retargeting
Chrome,Windows, Windows 10, Asus ROG Zephyrus G14,TechTrove_SR_broad,organic,search
Firefox,Android, Android 10, Samsung Galaxy Z Fold 2,GardenGala_EH_performance,paid_display,meta_ads_display
Samsung Internet,macOS, macOS Big Sur, MacBook Air (M1 2020),[''],JewelryJunction_TK_performance,paid_search,google_ads_brand
Chrome,Android, Android 9, Samsung Galaxy S9,JewelryJunction_AQ_buying,direct,direct
Firefox,Windows, Windows 10, Asus ZenBook 13,TravelTreasures_CL_performance,paid_search,google_ads_brand
Safari,Android, Android 12, OnePlus 9 Pro,MusicMystique_KN_buying,organic,search
Samsung Internet,macOS, macOS Monterey, MacBook Pro (16-inch 2021),[''],FashionFestival_GY_buying,paid_social,meta_ads_shopping
Firefox,Windows, Windows 10, Dell Inspiron 15 3000,SportsSpectacle_IO_buying,paid_search,google_ads_brand
Opera,iOS, iOS 14.5, iPhone SE (2nd),FashionFestival_GP_performance,paid_retargeting,google_ads_retargeting
Samsung Internet,Windows, Windows 10, Dell Latitude 7410,GourmetGrove_MQ_buying,paid_social,pinterest_ads
Samsung Internet,Android, Android 10, Samsung Galaxy S10,AutoAlley_VC_performance,paid_social,meta_ads_shopping
Firefox,Windows, Windows 11, Surface Laptop 4,FoodFiesta_MX_buying,paid_retargeting,meta_ads_retargeting
Chrome,macOS, macOS Catalina, iMac (21.5-inch 2019),HolidaySpecials_DE_broad,paid_social,meta_ads_shopping
Opera,Windows, Windows 10, Asus VivoBook Flip 14,WellnessWave_CO_broad,paid_retargeting,meta_ads_retargeting
Safari,macOS, macOS Big Sur, MacBook Pro (16-inch Late 2020),HealthHub_HU_buying,organic,search
Firefox,Android, Android 11, Samsung Galaxy Note 20 Ultra,AdventureAtlas_CX_broad,paid_social,linkedin_ads
Safari (in-app),Windows, Windows 11, Lenovo Legion 5 Pro,[''],TechExpo_FR_broad,paid_search,google_ads_brand
Firefox,Android, Android 7, Samsung Galaxy S7 Edge,NatureNest_IL_performance,direct,direct
Safari (in-app),macOS, macOS Monterey, MacBook Pro (14-inch 2021),MovieMania_AT_broad,paid_search,google_ads_brand
Safari,Android, Android 9, Samsung Galaxy Note 9,ArtAtrium_BM_buying,paid_display,meta_ads_display
Safari (in-app),macOS, macOS Catalina, MacBook Pro (13-inch 2019),GardenGala_IE_performance,organic,search
Safari (in-app),macOS, macOS Monterey, MacBook Pro (16-inch 2021),[''],FashionFestival_GY_buying,paid_display,meta_ads_display
Safari (in-app),Windows, Windows 10, Asus VivoBook Flip 14,KidsKarnival_GF_broad,paid_search,google_ads_shopping
Firefox,Android, Android 11, Google Pixel 5,KidsKingdom_NC_performance,paid_social,x_ads
Opera,Android, Android 7, HTC U11,GadgetGrove_RE_broad,paid_social,x_ads
Edge,Windows, Windows 11, Dell XPS 15,[''],HealthHub_PN_buying,paid_retargeting,google_ads_retargeting
Edge,Windows, Windows 10, Dell Latitude 7410,CraftCarnival_TV_broad,paid_social,meta_ads_shopping
Firefox,Windows, Windows 10, Dell Vostro 15 7500,BeautyBlast_MF_performance,paid_retargeting,google_ads_retargeting
Samsung Internet,Windows, Windows 10, Asus ZenBook 13,AutumnDeals_JP_buying,paid_display,google_ads_display
Samsung Internet,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),FashionWeek_IT_performance,paid_social,linkedin_ads
Firefox,iOS, iOS 14.3, iPhone 12 Pro,PetParade_AX_broad,paid_social,x_ads
Safari (in-app),Windows, Windows 10, Asus ZenBook 13,GardenGrove_LC_buying,paid_social,youtube_ads
Firefox,Android, Android 11, OnePlus 9,SportsSensation_FJ_performance,organic,search
Edge,macOS, macOS Monterey, MacBook Air (Retina 13-inch 2021),GardenGrove_LC_buying,paid_social,meta_ads_shopping
Firefox,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),KidsKarnival_PA_performance,paid_retargeting,google_ads_retargeting
Firefox,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],MusicMystique_MF_broad,paid_search,google_ads_brand
Edge,Android, Android 11, OnePlus 9,ToyTreasure_CP_performance,organic,search
Opera,Windows, Windows 10, Asus ZenBook Duo,ToyTreasure_CP_performance,paid_social,x_ads
Edge,Windows, Windows 10, Lenovo Yoga C940,UrbanUniverse_MS_broad,paid_search,google_ads_shopping
Chrome,Android, Android 12, Samsung Galaxy Note 21,[''],AutoAvenue_BQ_broad,paid_social,youtube_ads
Chrome,macOS, macOS Big Sur, MacBook Pro (M1 13-inch 2020),[''],GadgetGrove_CR_buying,paid_display,meta_ads_display
Safari (in-app),macOS, macOS Big Sur, iMac (27-inch 2020),VintageVista_NU_performance,paid_retargeting,meta_ads_retargeting
Samsung Internet,Android, Android 10, Samsung Galaxy S10,BeautyBoulevard_NR_broad,direct,direct
Edge,Windows, Windows 10, Dell XPS 13,AutoAlcove_AS_buying,paid_display,meta_ads_display
Edge,iOS, iOS 14.6, iPad Pro 12.9,TravelTreasures_PR_broad,organic,search
Edge,Windows, Windows 11, Asus ROG Flow X13,JewelryJunction_SH_performance,paid_social,x_ads
Safari (in-app),macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),GadgetGalore_RU_broad,paid_social,youtube_ads
Chrome,Android, Android 10, Samsung Galaxy Z Fold 2,SportsMania_BR_broad,paid_search,google_ads_shopping
Safari,macOS, macOS Big Sur, iMac (27-inch 2020),JewelryJunction_SH_performance,paid_social,pinterest_ads
Firefox,Android, Android 10, OnePlus 8,HealthHub_PN_buying,paid_search,google_ads_brand
Chrome,macOS, macOS Catalina, iMac (27-inch 2019),SportsSensation_BL_broad,paid_display,google_ads_display
Firefox,Windows, Windows 11, Asus TUF Gaming A15,[''],TechTrends_UY_buying,direct,direct
Firefox,macOS, macOS Catalina, MacBook Pro (15-inch 2019),ToyTreasure_NO_performance,paid_search,google_ads_shopping
Samsung Internet,Windows, Windows 10, Dell Inspiron 15 3000,VintageVoyage_BB_broad,paid_search,google_ads_brand
Safari,macOS, macOS Monterey, MacBook Pro (16-inch 2021),[''],UrbanUniverse_MS_broad,paid_retargeting,google_ads_retargeting
Opera,iOS, iOS 14.2, iPhone 12,AdventureAtlas_SH_performance,paid_search,google_ads_shopping
Samsung Internet,Android, Android 11, Samsung Galaxy Note 20 Ultra,BeautyBoulevard_PG_buying,paid_social,meta_ads_awareness
Edge,macOS, macOS Catalina, MacBook Pro (15-inch 2019),FoodFusion_AI_performance,paid_social,pinterest_ads
Samsung Internet,Windows, Windows 10, Asus ROG Strix Scar 15,SportsSpectacle_PA_broad,paid_social,youtube_ads
